Date,Description,Payee,Amount
01/06/2026,POS card settlement,Network Intl,3120.00
02/06/2026,Talabat payout,Talabat,1840.00
03/06/2026,Coffee beans - 30kg,Roastery DXB,-2200.00
04/06/2026,Dairy & milk supply,Al Rawabi,-680.00
05/06/2026,Shop rent June,Meraas,-9000.00
06/06/2026,WPS salary run,Payroll,-11500.00
07/06/2026,DEWA utilities,DEWA,-940.00
08/06/2026,Deliveroo payout,Deliveroo,1510.00
09/06/2026,Instagram ads,Meta Platforms,-600.00
10/06/2026,Packaging & cups,Gulf Packaging,-430.00
11/06/2026,Gas cylinder refill,Emirates Gas,-220.00
12/06/2026,Cash withdrawal 3321,ATM,-1500.00
13/06/2026,POS card settlement,Network Intl,2980.00
14/06/2026,Misc 88,POS Terminal,-88.00
15/06/2026,Pastry supplier,Modern Bakery,-560.00
