Date,Details,Money Out,Money In
2026-06-02,Retainer invoice - Acme Ltd,,5000.00
2026-06-03,PAYE salary run,7200.00,
2026-06-04,WeWork studio rent,1600.00,
2026-06-05,Project fee - Beacon Co,,3400.00
2026-06-08,Subcontractor - motion,2100.00,
2026-06-10,Adobe Creative Cloud,52.00,
2026-06-11,Google Ads campaign,840.00,
2026-06-12,Card purchase 7781,140.00,
2026-06-15,Retainer invoice - Nova,,4200.00
2026-06-18,BT broadband,46.00,
2026-06-20,Trainline travel,72.00,
2026-06-24,Project fee - Acme Ltd,,2800.00
2026-06-27,Accountancy fee,550.00,
2026-06-28,Bank charge,12.00,
