Date,Details,Money Out,Money In
2026-06-01,Sales invoice INV-3041,,4200.00
2026-06-02,Northern Wholesale stock,2150.00,
2026-06-03,PAYE salary run June,6800.00,
2026-06-04,Bruntwood office rent,1850.00,
2026-06-05,Stripe payout,,3120.00
2026-06-06,AWS cloud hosting,520.00,
2026-06-07,Meta Ads campaign,1400.00,
2026-06-08,Customer payment INV-3044,,5600.00
2026-06-09,British Gas energy,410.00,
2026-06-10,Adobe Creative Cloud,52.00,
2026-06-11,Google Workspace,72.00,
2026-06-12,Card purchase 2290,88.00,
2026-06-13,GoCardless payout,,2480.00
2026-06-14,Trainline travel - client,64.00,
2026-06-15,Subcontractor - design,1800.00,
2026-06-16,Consulting fee,,2600.00
2026-06-17,Transfer ref 4471,3000.00,
2026-06-18,BT business broadband,46.00,
2026-06-19,Figma annual seats,540.00,
2026-06-20,Pret team lunch,38.50,
2026-06-21,Costa coffee meeting,18.50,
2026-06-22,Sales invoice INV-3050,,3850.00
2026-06-23,Hiscox business insurance,260.00,
2026-06-24,Google Ads campaign,960.00,
2026-06-25,Sundry 9920,120.00,
2026-06-26,PayPal payout,,1740.00
2026-06-27,Accountancy fee Q2,600.00,
2026-06-28,Bank charge,12.00,
