Date,Details,Money Out,Money In
2026-06-01,Sales invoice 3041,,4200.00
2026-06-02,Northern Wholesale stock,2150.00,
2026-06-03,PAYE salary run,6800.00,
2026-06-05,Bruntwood office rent,1850.00,
2026-06-07,Stripe payout,,3120.00
2026-06-09,British Gas energy,410.00,
2026-06-10,Adobe Creative Cloud,52.00,
2026-06-12,Card purchase 2290,88.00,
2026-06-14,Trainline travel,64.00,
2026-06-16,Consulting fee,,2600.00
2026-06-18,BT broadband,46.00,
2026-06-21,Costa coffee meeting,18.50,
2026-06-24,Customer payment INV-3048,,3850.00
2026-06-27,Bank charge,12.00,
